dataset_id,scaling,log_transform,feature_subset,duplicate_handling,missingness,seed,universe_id,split,metrics_path,metrics_status,failure_reason,l2_dim0,tp_dim0,l2_dim1,tp_dim1,l2_dim2,tp_dim2,l2_aggregate,l2_average,recon_n,recon_mse_mean,recon_mse_median,recon_mse_std,recon_mse_p95,recon_mse_p99,recon_mse_max,recon_n_benign,recon_n_attack,recon_benign_mse_mean,recon_benign_mse_median,recon_attack_mse_mean,recon_attack_mse_median
NF-ToN-IoT-v3,minmax,none,all,drop,impute_median,4200,ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-all_dup-drop_miss-impute_median_sd-4200,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-all_dup-drop_miss-impute_median_sd-4200_metrics_test.json,ok,,5.908350739094615e-26,9.79067264039408e-27,1.8385994239484113e-25,4.6465206144730253e-26,5.360660939355378e-24,1.3734387100974642e-24,5.603604389141165e-24,1.8678681297137218e-24,5140825,0.015414155854909165,0.010759151540696621,0.021291320047563737,0.04301866888999939,0.04914531916379925,40.614593505859375,3015703,2125122,0.010428015104234672,0.008386409841477871,0.022489852977347933,0.019151723943650723
NF-ToN-IoT-v3,minmax,none,all,drop,impute_median,42000,ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-all_dup-drop_miss-impute_median_sd-42000,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-all_dup-drop_miss-impute_median_sd-42000_metrics_test.json,ok,,1.1826524710062396e-25,4.070260488473095e-26,4.713701794680002e-27,2.511322582256017e-26,0.0,1.0604614941533933e-27,1.2297894889530397e-25,4.0992982965101324e-26,5140825,0.015466089328814022,0.010727554559707642,0.011587023959275465,0.04300777614116669,0.04916681960225104,0.19972383975982666,3015703,2125122,0.01039399528808461,0.00836351327598095,0.02266376043424223,0.019344800151884556
NF-ToN-IoT-v3,minmax,none,without_confounders,keep,impute_median,42,ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-keep_miss-impute_median_sd-42,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-keep_miss-impute_median_sd-42_metrics_test.json,ok,,2.6722159557258777e-24,2.1381791486581723e-25,2.1128544465171797e-23,4.1249933063818264e-23,1.0894024867046667e-20,1.2599959554760118e-20,1.0917825627467564e-20,3.6392752091558545e-21,5504052,0.012152813451363582,0.006749871652573347,0.011791013063123338,0.03971621729433538,0.04498736917972565,0.201199471950531,3358443,2145609,0.008220204238519595,0.0039488631300628185,0.01830838228175691,0.013803134672343731
NF-ToN-IoT-v3,minmax,none,without_confounders,keep,impute_median,420,ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-keep_miss-impute_median_sd-420,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-keep_miss-impute_median_sd-420_metrics_test.json,ok,,9.93423289874388e-28,2.0303238824024065e-28,0.0,0.0,0.0,0.0,9.93423289874388e-28,3.3114109662479598e-28,5504052,0.012238805596145394,0.006907375529408455,0.011933766455050794,0.040023441985249535,0.04534767933189869,0.20310238003730774,3358443,2145609,0.008244414456926037,0.003872808301821351,0.01849107940781065,0.013965168036520481
NF-ToN-IoT-v3,minmax,none,without_confounders,keep,impute_median,4200,ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-keep_miss-impute_median_sd-4200,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-keep_miss-impute_median_sd-4200_metrics_test.json,ok,,1.921498263967313e-26,3.54730202188953e-27,0.0,0.0,0.0,0.0,1.921498263967313e-26,6.404994213224377e-27,5504052,0.012203471556355571,0.006962335668504238,0.012006919760167153,0.039922524243593216,0.04521774031221869,3.2495346069335938,3358443,2145609,0.008241996103059262,0.003836705582216382,0.01840422365321703,0.013811676762998104
NF-ToN-IoT-v3,minmax,none,without_confounders,keep,impute_median,42000,ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-keep_miss-impute_median_sd-42000,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-keep_miss-impute_median_sd-42000_metrics_test.json,ok,,4.205837541815808e-25,3.749597630959376e-25,1.0611214115486195e-25,1.638148606128299e-25,8.697158968470838e-27,9.530813641920666e-27,5.353930543049136e-25,1.784643514349712e-25,5504052,0.012193863773774901,0.006818590918555856,0.01187798115135997,0.03992757890373472,0.04517448808997871,0.18566812574863434,3358443,2145609,0.008224155925456594,0.0038842440117150545,0.01840750173634389,0.013848669826984406
NF-ToN-IoT-v3,minmax,none,without_confounders,drop,impute_median,42,ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-drop_miss-impute_median_sd-42,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-drop_miss-impute_median_sd-42_metrics_test.json,ok,,1.7700350245137605e-24,2.078093021122829e-25,1.310300650433698e-26,3.113862496316954e-26,6.066373409945873e-28,2.652409014687022e-27,1.783744668359092e-24,5.945815561196973e-25,3456439,0.01438357462346754,0.010558605194091797,0.013038418927715578,0.04289252012968063,0.04684264481067658,0.2384175807237625,1726373,1730066,0.007784145528898056,0.0038261855952441692,0.02096891657243319,0.01871826034039259
NF-ToN-IoT-v3,minmax,none,without_confounders,drop,impute_median,420,ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-drop_miss-impute_median_sd-420,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-drop_miss-impute_median_sd-420_metrics_test.json,ok,,3.222806249825222e-27,1.804483449683613e-27,1.0895046136813093e-27,5.632462591081565e-28,0.0,0.0,4.312310863506531e-27,1.4374369545021771e-27,3456439,0.014325583793344351,0.01049434021115303,0.01294773261120634,0.04269181638956068,0.046582155600190175,0.20931218564510345,1726374,1730065,0.00779234830510524,0.003825400024652481,0.020844880977423163,0.01861516945064068
NF-ToN-IoT-v3,minmax,none,without_confounders,drop,impute_median,4200,ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-drop_miss-impute_median_sd-4200,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-drop_miss-impute_median_sd-4200_metrics_test.json,ok,,1.1217611948308073e-26,2.8204346952723726e-27,9.430949340363499e-28,1.2766038673628548e-27,0.0,1.5193152056748606e-17,1.2160706882344423e-26,4.053568960781475e-27,3456439,0.01433730289908689,0.010509470477700233,0.01297178194389773,0.042715368419885616,0.04661735236644745,0.6632457375526428,1726373,1730066,0.007800858257175748,0.003819109173491597,0.020859794842047485,0.018629563972353935
NF-ToN-IoT-v3,minmax,none,without_confounders,drop,impute_median,42000,ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-drop_miss-impute_median_sd-42000,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-none_fs-without_confounders_dup-drop_miss-impute_median_sd-42000_metrics_test.json,ok,,6.116784018551525e-25,7.589150691276073e-26,5.063670757249435e-27,7.591303520648906e-27,0.0,5.325968466433836e-28,6.16742072612402e-25,2.0558069087080065e-25,3456439,0.014311943427494473,0.010511517524719238,0.029773502999659404,0.04251396469771861,0.04644247658550742,49.797271728515625,1726373,1730066,0.007823981841001668,0.0038131207693368196,0.02078605580699811,0.018590252846479416
NF-ToN-IoT-v3,minmax,log1p,all,keep,impute_median,42,ds-NF-ToN-IoT-v3_sc-minmax_log-log1p_fs-all_dup-keep_miss-impute_median_sd-42,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-log1p_fs-all_dup-keep_miss-impute_median_sd-42_metrics_test.json,ok,,0.00023666088158978392,6.283283426863155e-05,8.752832189561055e+20,7.489237237302616e+19,1.199126182980366e+19,1.3028897806868654e+18,8.872744807859092e+20,2.9575816026196974e+20,5504052,0.02314302484031304,0.01366829127073288,0.023321807117387693,0.07047419995069504,0.10802422784268857,0.224714457988739,3358443,2145609,0.014510317118218532,0.007378635462373495,0.03665548532137657,0.027396805584430695
NF-ToN-IoT-v3,minmax,log1p,all,keep,impute_median,420,ds-NF-ToN-IoT-v3_sc-minmax_log-log1p_fs-all_dup-keep_miss-impute_median_sd-420,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-log1p_fs-all_dup-keep_miss-impute_median_sd-420_metrics_test.json,ok,,0.00015646440646059694,6.14916116323581e-05,3.292488874788985e+16,4781234815632946.0,1937570434181370.0,262502344042204.72,3.486245918207122e+16,1.1620819727357074e+16,5504052,0.0236096892069513,0.013499581255018711,0.02413688565014864,0.07347099967300894,0.10931934721767904,0.26334452629089355,3358443,2145609,0.014539177802533526,0.006623869761824608,0.03780742771969385,0.028477275744080544
NF-ToN-IoT-v3,minmax,log1p,all,keep,impute_median,4200,ds-NF-ToN-IoT-v3_sc-minmax_log-log1p_fs-all_dup-keep_miss-impute_median_sd-4200,test,data/processed/metrics/ds-NF-ToN-IoT-v3_sc-minmax_log-log1p_fs-all_dup-keep_miss-impute_median_sd-4200_metrics_test.json,ok,,0.0001510960246000429,5.627142342649382e-05,2.3626343998036077e+24,3.027018669576572e+23,317.10496105148627,196.8475809202903,2.3626343998036077e+24,7.875447999345359e+23,5504052,0.02315714816465867,0.013713103253394365,0.023306608017076805,0.07009495794773102,0.10841791316866892,0.2540448307991028,3358443,2145609,0.014507741569557137,0.007750949822366238,0.03669574677860585,0.02845543622970581
